Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-AUGUST-2020,L83087,NHS ENGLAND SOUTH WEST,OKEHAMPTON MEDICAL CENTRE,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2020,Y02572,NHS ENGLAND NORTH EAST AND YORKSHIRE,PARK COMMUNITY PRACTICE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2020,Y04538,NHS ENGLAND SOUTH EAST,BRACKNELL URGENT CARE CENTRE WIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2020,Y03007,NHS ENGLAND MIDLANDS,ERDINGTON GP HEALTH & WELLBEING WIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2020,NR3,NHS ENGLAND MIDLANDS,NOTTINGHAM CITYCARE PARTNERSHIP,0,0,3369,0,0,274,0,0,3,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2020,RYY,NHS ENGLAND SOUTH EAST,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,0,0,5350,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2020,NDJ,NHS ENGLAND SOUTH EAST,FIRST COMMUNITY HEALTH AND CARE CIC,0,0,1289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2020,NYM13,NHS ENGLAND LONDON,HHCIC EAST WIC,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2020,8J094,NHS ENGLAND MIDLANDS,BADGER LTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2020,C82009,NHS ENGLAND MIDLANDS,MARKET HARBOROUGH MED.CTR,0,0,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2020,AAH,NHS ENGLAND SOUTH WEST,TETBURY HOSPITAL TRUST LTD,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2020,Y02428,NHS ENGLAND EAST OF ENGLAND,PUTNOE MEDICAL CENTRE WALK IN CENTRE,0,0,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2020,RPC,NHS ENGLAND SOUTH EAST,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,0,0,814,0,0,0,0,0,1,0,0,0,0,0,0,0,6,577
MSitAE-AUGUST-2020,Y02676,NHS ENGLAND SOUTH EAST,BRIGHTON STATION HEALTH CENTRE,0,0,1079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2020,RVY,NHS ENGLAND NORTH WEST,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,5967,0,2894,0,0,0,979,0,0,0,0,0,254,1,1925,0,0,89
MSitAE-AUGUST-2020,AQN04,NHS ENGLAND SOUTH EAST,PHL LYMINGTON UTC,0,0,1937,0,0,156,0,0,2,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2020,NQT5H,NHS ENGLAND SOUTH WEST,PAULTON MEMORIAL HOSPITAL,0,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2020,RWY,NHS ENGLAND NORTH EAST AND YORKSHIRE,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,12129,0,0,0,0,0,1134,0,0,0,0,0,247,0,2560,0,0,761
MSitAE-AUGUST-2020,C82010,NHS ENGLAND MIDLANDS,OAKHAM MEDICAL PRACTICE,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2020,Y02961,NHS ENGLAND MIDLANDS,SUMMERFIELD GP SURG & URGENT CARE CENTRE,0,0,2262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2020,NQT10,NHS ENGLAND SOUTH EAST,ASSURA READING LLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2020,C82038,NHS ENGLAND MIDLANDS,LATHAM HOUSE MEDICAL PRACTICE,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2020,RDY,NHS ENGLAND SOUTH WEST,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7
MSitAE-AUGUST-2020,RW1,NHS ENGLAND SOUTH EAST,SOUTHERN HEALTH NHS FOUNDATION TRUST,0,0,707,0,0,0,0,0,0,0,0,0,0,0,0,0,3,171
MSitAE-AUGUST-2020,RXW,NHS ENGLAND MIDLANDS,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,9489,0,243,0,0,0,2225,0,9,0,0,0,429,0,2640,0,1,1337
MSitAE-AUGUST-2020,M85813,NHS ENGLAND MIDLANDS,BIRMINGHAM WIC,0,0,0,0,0,498,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2020,RX1,NHS ENGLAND MIDLANDS,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,13526,1498,213,0,0,0,0,0,0,0,0,0,16,0,4521,0,0,2403
MSitAE-AUGUST-2020,RXK,NHS ENGLAND MIDLANDS,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,12035,956,2108,0,0,0,2228,56,13,0,0,0,217,0,2753,34,0,444
MSitAE-AUGUST-2020,RBZ,NHS ENGLAND SOUTH WEST,NORTHERN DEVON HEALTHCARE NHS TRUST,4301,0,0,613,0,0,441,0,0,0,0,0,60,0,1153,0,0,351
MSitAE-AUGUST-2020,RJR,NHS ENGLAND NORTH WEST,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,5956,0,640,0,0,0,525,0,0,0,0,0,85,0,1563,0,0,663
MSitAE-AUGUST-2020,RLQ,NHS ENGLAND MIDLANDS,WYE VALLEY NHS TRUST,5365,0,0,0,0,0,1007,0,0,0,0,0,95,1,1401,0,0,228
MSitAE-AUGUST-2020,RT3,NHS ENGLAND LONDON,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197
MSitAE-AUGUST-2020,NTP11,NHS ENGLAND SOUTH EAST,SOUTHAMPTON NHS TREATMENT CENTRE,0,0,2810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2020,RQX,NHS ENGLAND LONDON,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,7677,0,0,0,0,0,532,0,0,0,0,0,55,0,1283,0,0,140
MSitAE-AUGUST-2020,RY8,NHS ENGLAND MIDLANDS,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,0,0,5346,0,0,704,0,0,1,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2020,RGT,NHS ENGLAND EAST OF ENGLAND,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,8306,0,3139,0,0,0,0,0,0,0,0,0,474,27,1884,0,35,463
MSitAE-AUGUST-2020,Y00751,NHS ENGLAND SOUTH EAST,EAST BERKS PRIMARY CARE OOH(WAM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2020,RBQ,NHS ENGLAND NORTH WEST,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214
MSitAE-AUGUST-2020,RJ7,NHS ENGLAND LONDON,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,10686,0,0,0,0,0,551,0,0,0,0,0,65,3,3111,0,0,831
MSitAE-AUGUST-2020,C83023,NHS ENGLAND MIDLANDS,SLEAFORD MEDICAL GROUP,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
MSitAE-AUGUST-2020,RGR,NHS ENGLAND EAST OF ENGLAND,WEST SUFFOLK NHS FOUNDATION TRUST,5996,0,393,0,0,0,0,0,0,0,0,0,47,0,1767,0,0,479
MSitAE-AUGUST-2020,Y02532,NHS ENGLAND NORTH WEST,MIRIAM MINOR EMERGENCY,0,0,1288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2020,RA4,NHS ENGLAND SOUTH WEST,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,4703,0,0,0,0,0,165,0,0,0,0,0,4,0,1478,0,0,386
MSitAE-AUGUST-2020,AXG,NHS ENGLAND SOUTH WEST,WILTSHIRE HEALTH & CARE,0,0,62,0,0,251,0,0,1,0,0,1,0,0,0,0,0,0
MSitAE-AUGUST-2020,G82071,NHS ENGLAND SOUTH EAST,WHITSTABLE MEDICAL PRACTICE,0,0,2793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2020,NL7,NHS ENGLAND MIDLANDS,ASSURA VERTIS URGENT CARE CENTRES (BIRMINGHAM),0,0,4563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2020,RJN,NHS ENGLAND NORTH WEST,EAST CHESHIRE NHS TRUST,3716,0,0,0,0,0,315,0,0,0,0,0,15,0,890,0,0,140
MSitAE-AUGUST-2020,RFF,NHS ENGLAND NORTH EAST AND YORKSHIRE,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,5940,0,0,0,0,0,831,0,0,0,0,0,25,0,2080,0,0,334
MSitAE-AUGUST-2020,RRV,NHS ENGLAND LONDON,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,7238,0,0,0,0,0,781,0,0,0,0,0,119,3,1408,0,0,461
MSitAE-AUGUST-2020,RH8,NHS ENGLAND SOUTH WEST,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,7664,0,1400,0,0,0,1457,0,0,0,0,0,61,0,2190,0,0,1492
MSitAE-AUGUST-2020,RWA,NHS ENGLAND NORTH EAST AND YORKSHIRE,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,10213,0,0,0,0,0,1486,0,0,0,0,0,106,0,2710,0,0,1205
MSitAE-AUGUST-2020,NQ108,NHS ENGLAND EAST OF ENGLAND,CLACTON HOSPITAL,0,0,2655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2020,RBK,NHS ENGLAND MIDLANDS,WALSALL HEALTHCARE NHS TRUST,6359,0,2884,0,0,131,761,0,0,0,0,0,51,0,2212,0,0,727
MSitAE-AUGUST-2020,RD3,NHS ENGLAND SOUTH WEST,POOLE HOSPITAL NHS FOUNDATION TRUST,5821,0,1994,0,0,0,0,0,0,0,0,0,101,0,1632,0,0,1151
MSitAE-AUGUST-2020,NQT5F,NHS ENGLAND NORTH WEST,SKELMERSDALE WALK IN CENTRE,0,0,899,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2020,RXG,NHS ENGLAND NORTH EAST AND YORKSHIRE,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150
MSitAE-AUGUST-2020,RL4,NHS ENGLAND MIDLANDS,THE ROYAL WOLVERHAMPTON NHS TRUST,11272,0,3573,0,0,777,1873,0,1,0,0,0,177,2,2444,0,0,732
MSitAE-AUGUST-2020,Y02147,NHS ENGLAND LONDON,URGENT CARE CENTRE (QMS),0,0,5990,0,0,364,0,0,22,0,0,2,0,0,0,0,0,0
MSitAE-AUGUST-2020,Y02615,NHS ENGLAND MIDLANDS,SOUTH BIRMINGHAM GP WALK IN CENTRE,0,0,5513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2020,RWP,NHS ENGLAND MIDLANDS,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,11359,0,3913,0,0,0,1829,0,0,0,0,0,321,0,3334,0,0,634
MSitAE-AUGUST-2020,NQ106,NHS ENGLAND EAST OF ENGLAND,FRYATT HOSPITAL,0,0,393,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
MSitAE-AUGUST-2020,RP6,NHS ENGLAND LONDON,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,0,3977,0,0,0,0,0,1,0,0,0,0,0,0,0,16,0,116
MSitAE-AUGUST-2020,RC9,NHS ENGLAND EAST OF ENGLAND,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,13407,0,3022,0,0,579,0,0,0,0,0,0,0,0,4615,0,0,1206
MSitAE-AUGUST-2020,NNJ,NHS ENGLAND MIDLANDS,DHU HEALTH CARE C.I.C,0,0,0,0,0,736,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2020,RJC,NHS ENGLAND MIDLANDS,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,5768,0,0,0,0,0,454,0,0,0,0,0,3,0,1556,0,0,407
MSitAE-AUGUST-2020,RTF,NHS ENGLAND NORTH EAST AND YORKSHIRE,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,7997,0,8545,0,0,0,322,0,62,0,0,0,0,0,4775,0,18,726
MSitAE-AUGUST-2020,AJN,NHS ENGLAND NORTH EAST AND YORKSHIRE,WORKINGTON HEALTH LIMITED,0,0,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2020,RCU,NHS ENGLAND NORTH EAST AND YORKSHIRE,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,2960,0,0,0,0,0,64,0,0,0,0,0,0,0,436,0,0,183
